"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
06061,618,702,131,101,821,267,1069,113,138
06062,572,682,136,94,744,280,1014,105,135
06063,724,810,185,128,948,273,1195,161,178
06064,861,1033,223,176,1050,445,1588,157,149
06065,544,657,164,92,655,290,1018,83,100
06066,421,569,116,46,593,235,823,79,88
06067,822,993,202,142,1125,346,1449,172,194
06068,722,875,203,138,926,330,1307,151,139
06069,485,596,121,90,627,243,887,86,108
06070,842,1042,220,124,1144,396,1498,139,247
06071,501,591,106,132,608,246,899,55,138
06072,744,875,173,150,855,441,1404,89,126
06073,622,738,114,114,784,348,1172,62,126
06074,536,588,136,95,661,232,901,93,130
06075,504,578,116,85,557,324,974,35,73
06076,665,673,159,115,663,401,1147,59,132
06077,524,690,151,111,726,226,983,77,154
06078,639,730,156,100,886,227,1040,131,198
06079,517,607,124,78,658,264,930,105,89
06080,556,639,136,101,645,313,1017,54,124
06081,598,728,144,100,810,272,1089,109,128
06082,1175,1255,297,230,1461,442,1844,193,393
06083,828,908,177,134,968,457,1509,84,143
06084,685,816,184,113,870,334,1293,89,119
06085,567,694,149,116,669,327,1116,69,76
06086,484,528,126,68,555,263,920,48,44
06087,846,984,184,112,911,623,1702,39,89
06088,559,700,154,104,685,316,1118,60,81
07001,708,887,160,122,801,512,1431,40,124
07002,520,635,112,75,659,309,1025,55,75
07003,624,721,192,104,772,277,1093,89,163
07004,722,827,150,135,908,356,1200,101,248
07005,714,785,177,87,908,327,1268,76,155
07006,462,506,96,62,554,256,854,40,74
07007,644,794,132,128,703,475,1227,66,145
07008,685,802,140,118,755,474,1328,49,110
07009,522,654,114,109,694,259,1013,49,114
07010,628,700,135,132,778,283,1096,66,166
07011,527,641,117,89,703,259,904,99,165
07012,728,853,170,121,916,374,1292,96,193
07013,582,660,106,112,715,309,1106,36,100
07014,407,487,89,67,508,230,711,54,129
07015,643,712,144,126,746,339,1204,49,102
07016,666,707,175,136,747,315,1199,89,85
07017,789,960,224,150,993,382,1434,125,190
07018,767,944,239,134,973,365,1442,67,202
07019,678,785,158,121,810,374,1259,71,133
07020,805,926,231,152,984,364,1358,99,274
07021,506,540,117,81,580,268,914,67,65
07022,543,613,141,103,648,264,1013,35,108
07023,645,682,175,120,782,250,1108,87,132
07024,687,787,155,147,855,317,1240,73,161
07025,676,768,177,125,869,273,1173,87,184
07026,508,594,121,60,596,325,933,53,116
07027,982,1134,310,224,1170,412,1722,109,285
07028,730,772,185,150,931,236,1214,97,191
07029,634,661,122,111,684,378,1119,56,120
07030,636,779,185,106,789,335,1138,51,226
07031,771,802,203,129,920,321,1281,74,218
07032,711,731,182,133,822,305,1222,60,160
07033,665,787,176,111,818,347,1247,73,132
07034,894,1001,285,168,1081,361,1612,73,210
07035,820,959,234,141,1016,388,1555,75,149
07036,634,767,152,109,785,355,1244,30,127
07037,674,815,169,133,831,356,1238,73,178
07038,598,687,136,142,654,353,1089,58,138
07039,750,851,176,142,992,291,1330,104,167
07040,669,787,171,128,837,320,1216,89,151
07041,644,750,189,104,834,267,1100,70,224
07042,699,838,189,105,928,315,1312,47,178
07043,657,763,178,118,805,319,1162,81,177
07044,616,693,142,101,733,333,1147,45,117
07045,751,813,192,134,876,362,1321,76,167
07046,665,741,166,93,743,404,1178,61,167
07047,724,792,174,122,898,322,1237,83,196
07048,586,716,147,127,718,310,1126,57,119
07049,590,624,123,112,662,317,1030,58,126
07050,571,626,135,94,735,233,977,68,152
07051,815,972,246,174,994,373,1497,88,202
07052,595,653,178,95,606,369,1152,55,41
07053,694,795,204,113,822,350,1359,38,92
07054,736,859,260,156,823,356,1484,41,70
07055,549,641,165,131,563,331,1150,16,24
07056,576,606,151,126,628,277,1065,57,60
07057,686,767,185,161,797,310,1341,26,86
07058,669,703,179,117,759,317,1288,41,43
07059,624,697,157,101,756,307,1096,95,130
